,tvals,phi_max,phi_min,phi_avg,energy_vals
150,3.75,0.5100002123658651,0.4901165158775579,0.5000320100120772,322.7325239350397
151,3.7750000000000004,0.5102378600504691,0.4898695484283963,0.500032034196131,322.73210997789926
152,3.8000000000000003,0.5104812470622365,0.4896164972760739,0.5000320590321358,322.73167589965607
153,3.825,0.5107305127644525,0.48935721328109544,0.5000320845371179,322.73122071545095
154,3.85,0.5109857999039057,0.489091543659318,0.5000321107285419,322.73074339214924
155,3.875,0.5112472546922212,0.4888193318939916,0.5000321376243217,322.7302428456036
156,3.9000000000000004,0.5115150268890679,0.488540417645762,0.500032165242832,322.72971793843584
157,3.9250000000000003,0.5117892698872754,0.4882546366606037,0.500032193602921,322.72916747723025
158,3.95,0.5120701407999045,0.48796182067563343,0.5000322227239218,322.7285902098489
159,3.975,0.5123578005492989,0.48766179732277176,0.5000322526256651,322.72798482253506
160,4.0,0.5126524139581639,0.4873543900302093,0.500032283328494,322.72734993677244
161,4.025,0.5129541498427045,0.4870394179216372,0.5000323148532746,322.7266841062717
162,4.05,0.513263181107863,0.4867166957132039,0.5000323472214118,322.7259858134012
163,4.075,0.5135796848446899,0.4863860336081548,0.5000323804548621,322.72525346586343
164,4.1000000000000005,0.5139038424298905,0.48604723718911835,0.5000324145761491,322.72448539280094
165,4.125,0.5142358396275795,0.48570010730799823,0.5000324496083772,322.723679841137
166,4.15,0.5145758666932819,0.48534388147667634,0.5000324855752484,322.72283497139387
167,4.175,0.514924118480217,0.48497887618165947,0.5000325225010761,322.72194885334966
168,4.2,0.5152807945479007,0.48460488393580925,0.5000325604108029,322.72101946173973
169,4.2250000000000005,0.5156460992730991,0.48422168464561394,0.5000325993300156,322.720044671482
170,4.25,0.5160202419631721,0.4838290528730866,0.5000326392849639,322.7190222526325
171,4.275,0.5164034369718341,0.48342675770979315,0.5000326803025769,322.71794986534235
172,4.3,0.5167959038173691,0.4830145626482105,0.5000327224104804,322.7168250544229
173,4.325,0.5171978673033298,0.48259222545038805,0.500032765637017,322.71564524359775
174,4.3500000000000005,0.5176095576417474,0.4821594980138779,0.5000328100112635,322.714407729549
175,4.375,0.5180312105788827,0.48171612623491344,0.5000328555630523,322.71310967558264
176,4.4,0.5184630675235451,0.4812618498687962,0.5000329023229892,322.7117481051485
177,4.425,0.5189053756779988,0.48079640238748533,0.5000329503224764,322.7103198948694
178,4.45,0.5193583881714835,0.48031951083435526,0.5000329995937316,322.7088217672848
179,4.4750000000000005,0.5198223624872065,0.47983089760132935,0.5000330501698897,322.70725028416194
180,4.5,0.5202978752781948,0.4793302741315376,0.5000331020847757,322.70560183595876
181,4.525,0.5207852731743275,0.4788173475080537,0.5000331553732054,322.70387263589623
182,4.55,0.5212844785830069,0.47829181766286366,0.5000332100708951,322.70205871037655
183,4.575,0.5217957772403157,0.47775337727838946,0.5000332662144906,322.7001558897332
184,4.6000000000000005,0.5223194617076876,0.4772017116522772,0.5000333238415942,322.6981597987352
185,4.625,0.5228558315171417,0.47663649854473494,0.5000333829907914,322.6960658461659
186,4.65,0.5234051933228308,0.4760574080164935,0.5000334437016779,322.693869214405
187,4.675,0.523967861057044,0.4754641022609149,0.5000335060148879,322.6915648481875
188,4.7,0.5245441560897492,0.4748562354318561,0.5000335699721231,322.68914744286764
189,4.7250000000000005,0.5251344073912149,0.4742334534680621,0.5000336356161813,322.6866114321433
190,4.75,0.5257389516974487,0.4735953939144879,0.5000337029909874,322.68395097529293
191,4.775,0.5263581336782968,0.4729416857407861,0.5000337721416239,322.681159943454
192,4.800000000000001,0.5269923061080846,0.47227194915711634,0.5000338431143645,322.678231905637
193,4.825,0.5276418300387022,0.4715857954274066,0.5000339159567059,322.67516011373266
